Validated Using,Source,Category,Impact,Resource Type,Recommendation,Recommendation Id,Subscription Id,Subscription Name,Resource Group,Resource Name,Resource Id,Param1,Param2,Param3,Param4,Param5,Learn
Azure Resource Graph,AZQR,Security,High,Microsoft.ApiManagement/service,APIM should have private endpoints enabled,apim-004,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,rg-mcp-dev,apim-mcp-dev-thines,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-dev-thines,,,,,,https://learn.microsoft.com/azure/api-management/private-endpoint
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.ApiManagement/service,Migrate API Management services to Premium SKU to support Availability Zones,baf3bfc0-32a2-4c0c-926d-c9bf0b49808e,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,rg-mcp-dev,apim-mcp-dev-thines,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-dev-thines,SKU: BasicV2,,,,,https://learn.microsoft.com/azure/api-management/upgrade-and-scale#change-your-api-management-service-tier
Azure Resource Graph,APRL,Scalability,High,Microsoft.Web/serverFarms,Set minimum instance count to 2 for app service,855ca19a-6518-4f2e-9e5a-01796fbca9f8,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,Instance count is less than 2,,,,,https://azure.github.io/AppService/2020/05/15/Robust-Apps-for-the-cloud.html
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.Web/serverFarms,Migrate App Service to availability Zone Support,88cb90c2-3b99-814b-9820-821a63f600dd,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,Premium0V3,Not Zone Redundant,,,,https://learn.microsoft.com/azure/reliability/migrate-app-service
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should have VNET Route all enabled for VNET integration,app-010,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,VNET Route All is disabled,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should have VNET Route all enabled for VNET integration,app-010,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,VNET Route All is disabled,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should use VNET integration,app-009,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,VNET integration not configured,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,AZQR,Security,Medium,Microsoft.Web/sites,App Service should use VNET integration,app-009,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,VNET integration not configured,,,,,https://learn.microsoft.com/en-us/azure/app-service/overview-vnet-integration
Azure Resource Graph,APRL,OtherBestPractices,High,Microsoft.Web/sites,Enable Health check for App Services,fd049c28-ae6d-48f0-a641-cc3ba1a3fe1d,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,Healthcheckpath = not set,,,,,https://learn.microsoft.com/azure/app-service/monitor-instances-health-check?tabs=dotnet#enable-health-check
Azure Resource Graph,AZQR,HighAvailability,Medium,Microsoft.Web/sites,App Service should avoid using Client Affinity,app-015,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,Client Affinity is enabled,,,,,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist
Azure Resource Graph,AZQR,HighAvailability,Medium,Microsoft.Web/sites,App Service should avoid using Client Affinity,app-015,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,Client Affinity is enabled,,,,,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-app-service/reliability#checklist
Azure Resource Graph,APRL,OtherBestPractices,Medium,Microsoft.Web/sites,Store configuration as app settings for Web Sites,0b80b67c-afbe-4988-ad58-a85a146b681e,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,AppSettings is not configured,,,,,https://learn.microsoft.com/azure/app-service-web/web-sites-configure
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.App/managedEnvironments,Deploy zone redundant Container app environments,f4201965-a88d-449d-b3b4-021394719eb2,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-env,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.App/managedEnvironments/debo-env,AvailabilityZones: Single Zone,,,,,https://learn.microsoft.com/azure/reliability/reliability-azure-container-apps
Azure Resource Graph,AZQR,Security,High,Microsoft.App/managedEnvironments,Container Apps Environment should have private endpoints enabled,cae-004,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-env,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.App/managedEnvironments/debo-env,,,,,,https://learn.microsoft.com/azure/container-apps/networking
Azure Resource Graph,APRL,OtherBestPractices,Low,Microsoft.Web/sites,Deploy to a staging slot,a1d91661-32d4-430b-b3b6-5adeb0975df7,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,Premium0V3,DeploymentSlotEnabled=false,,,,https://learn.microsoft.com/azure/app-service-web/web-sites-staged-publishing
Azure Resource Graph,APRL,OtherBestPractices,Low,Microsoft.Web/sites,Deploy to a staging slot,a1d91661-32d4-430b-b3b6-5adeb0975df7,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,Premium0V3,DeploymentSlotEnabled=false,,,,https://learn.microsoft.com/azure/app-service-web/web-sites-staged-publishing
Azure Resource Graph,APRL,HighAvailability,High,Microsoft.Cache/Redis,Enable zone redundancy for Azure Cache for Redis,5a44bd30-ae6a-4b81-9b68-dc3a8ffca4d8,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-redis,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.Cache/Redis/debo-redis,AvailabilityZones: Single Zone,,,,,https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-zone-redundancy
Azure Resource Graph,AZQR,Governance,Low,Microsoft.App/managedEnvironments,Resource should comply with naming conventions,resources-002,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-env,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.App/managedEnvironments/debo-env,"Expected prefix: cae, Actual: debo-env",,,,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
Azure Resource Graph,AZQR,Governance,Low,Microsoft.Cache/Redis,Resource should comply with naming conventions,resources-002,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-redis,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.Cache/Redis/debo-redis,"Expected prefix: redis, Actual: debo-redis",,,,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
Azure Resource Graph,AZQR,Governance,Low,Microsoft.OperationalInsights/workspaces,Resource should comply with naming conventions,resources-002,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-logs,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.OperationalInsights/workspaces/debo-logs,"Expected prefix: log, Actual: debo-logs",,,,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
Azure Resource Graph,AZQR,Governance,Low,Microsoft.Web/serverFarms,Resource should comply with naming conventions,resources-002,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,"Expected prefix: asp, Actual: plan-wtunmw4mafbha",,,,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
Azure Resource Graph,AZQR,Governance,Low,Microsoft.Web/sites,Resource should comply with naming conventions,resources-002,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,"Expected prefix: app|func|logic|asp, Actual: natt-mcp-7updxksg",,,,,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/resource-abbreviations
Azure Resource Graph,AZQR,Governance,Low,Microsoft.App/managedEnvironments,Resource should have tags,resources-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-env,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.App/managedEnvironments/debo-env,No tags configured,,,,,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json
Azure Resource Graph,AZQR,Governance,Low,Microsoft.Cache/Redis,Resource should have tags,resources-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-redis,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.Cache/Redis/debo-redis,No tags configured,,,,,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json
Azure Resource Graph,AZQR,Governance,Low,Microsoft.OperationalInsights/workspaces,Resource should have tags,resources-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,debo-east2-rg,debo-logs,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.OperationalInsights/workspaces/debo-logs,No tags configured,,,,,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json
Azure Resource Graph,AZQR,Governance,Low,Microsoft.Web/serverFarms,Resource should have tags,resources-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,Debo,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,No tags configured,,,,,https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/tag-resources?tabs=json
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.apimanagement/service,APIM should have diagnostic settings enabled,apim-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,rg-mcp-dev,apim-mcp-dev-thines,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.ApiManagement/service/apim-mcp-dev-thines,,,,,,https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-use-azure-monitor#resource-logs
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.keyvault/vaults,Key Vault should have diagnostic settings enabled,kv-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,rg-mcp-dev,kvmcpdevthines,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/rg-mcp-dev/providers/Microsoft.KeyVault/vaults/kvmcpdevthines,,,,,,https://learn.microsoft.com/en-us/azure/key-vault/general/monitor-key-vault
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.web/serverfarms,Plan should have diagnostic settings enabled,asp-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,prod-rg,plan-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/serverFarms/plan-wtunmw4mafbha,,,,,,
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.web/sites,App should have diagnostic settings enabled,app-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,prod-rg,app-wtunmw4mafbha,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/app-wtunmw4mafbha,,,,,,https://learn.microsoft.com/en-us/azure/app-service/troubleshoot-diagnostic-logs#send-logs-to-azure-monitor
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.web/sites,App should have diagnostic settings enabled,app-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,prod-rg,natt-mcp-7updxksg,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/prod-rg/providers/Microsoft.Web/sites/natt-mcp-7updxksg,,,,,,https://learn.microsoft.com/en-us/azure/app-service/troubleshoot-diagnostic-logs#send-logs-to-azure-monitor
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.app/managedenvironments,Container Apps Environment should have diagnostic settings enabled,cae-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,debo-east2-rg,debo-env,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.App/managedEnvironments/debo-env,,,,,,https://learn.microsoft.com/en-us/azure/container-apps/log-options#diagnostic-settings
Azure Resource Graph,AZQR,MonitoringAndAlerting,Low,microsoft.cache/redis,Redis should have diagnostic settings enabled,redis-001,xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef,,debo-east2-rg,debo-redis,/subscriptions/xxxxxxxx-xxxx-xxxx-xxxx-xxxxx1fa1cef/resourceGroups/debo-east2-rg/providers/Microsoft.Cache/Redis/debo-redis,,,,,,https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-monitor-diagnostic-settings
